Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Inventory_Coverage,Inventory_Status,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,IsWeekend,Rolling_7,Rolling_14,Rolling_30,Lag_1,Lag_7,Lag_14,Lag_30,Inventory_Gap,Competitor_Price_Difference,Promotion_Flag
2022-02-11,S001,P0001,Electronics,East,216,203,34,198.49,19.93,0,Sunny,0,24.88,Autumn,1.9610894941634243,Low Stock,2022,2,11,4,6,1,0,110.14285714285714,116.64285714285714,127.33333333333333,237.0,25.0,97.0,104.0,105.85714285714286,-4.949999999999999,0
2022-02-12,S001,P0001,Toys,South,358,29,54,48.16,64.4,15,Sunny,1,61.19,Autumn,2.6406743940990514,Low Stock,2022,2,12,5,6,1,1,135.57142857142858,124.21428571428571,130.63333333333333,203.0,350.0,47.0,80.0,222.42857142857142,3.210000000000008,0
2022-02-13,S001,P0001,Clothing,North,229,149,161,143.55,85.19,10,Rainy,0,85.28,Spring,2.552547770700637,Low Stock,2022,2,13,6,6,1,1,89.71428571428571,122.92857142857143,128.93333333333334,29.0,69.0,130.0,177.0,139.28571428571428,-0.09000000000000341,0
2022-02-14,S001,P0001,Clothing,North,429,259,156,256.33,97.41,10,Snowy,1,93.97,Winter,4.241525423728814,Healthy,2022,2,14,0,7,1,0,101.14285714285714,124.28571428571429,128.0,149.0,62.0,200.0,176.0,327.8571428571429,3.4399999999999977,0
2022-02-15,S001,P0001,Furniture,North,126,111,32,115.57,51.27,5,Snowy,0,53.8,Winter,0.9745856353591161,Low Stock,2022,2,15,1,7,1,0,129.28571428571428,128.5,130.76666666666668,259.0,12.0,279.0,97.0,-3.2857142857142776,-2.529999999999994,0
2022-02-16,S001,P0001,Electronics,West,373,373,91,372.09,65.22,10,Rainy,1,66.25,Autumn,2.600597609561753,Low Stock,2022,2,16,2,7,1,0,143.42857142857142,116.5,131.23333333333332,111.0,16.0,38.0,69.0,229.57142857142858,-1.0300000000000011,0
2022-02-17,S001,P0001,Furniture,West,82,31,146,27.62,49.34,5,Rainy,1,51.94,Spring,0.4217487141807495,Low Stock,2022,2,17,3,7,1,0,194.42857142857142,140.42857142857142,141.36666666666667,373.0,237.0,71.0,123.0,-112.42857142857142,-2.5999999999999943,0
2022-02-18,S001,P0001,Electronics,South,115,27,33,39.79,20.21,15,Rainy,0,18.45,Winter,0.696969696969697,Low Stock,2022,2,18,4,7,1,0,165.0,137.57142857142858,138.3,31.0,203.0,25.0,211.0,-50.0,1.7600000000000016,0
2022-02-19,S001,P0001,Furniture,North,207,27,200,32.44,75.6,0,Snowy,1,71.3,Summer,1.480081716036772,Low Stock,2022,2,19,5,7,1,1,139.85714285714286,137.71428571428572,132.16666666666666,27.0,29.0,350.0,79.0,67.14285714285714,4.299999999999997,0
2022-02-20,S001,P0001,Toys,South,284,166,189,175.44,73.76,10,Rainy,0,70.18,Autumn,2.0348004094165812,Low Stock,2022,2,20,6,7,1,1,139.57142857142858,114.64285714285714,130.43333333333334,27.0,149.0,69.0,390.0,144.42857142857142,3.5799999999999983,0
2022-02-21,S001,P0001,Clothing,East,337,337,136,346.41,96.55,10,Sunny,0,100.1,Winter,2.3732394366197185,Low Stock,2022,2,21,0,8,1,0,142.0,121.57142857142857,122.96666666666667,166.0,259.0,62.0,191.0,195.0,-3.549999999999997,0
2022-02-22,S001,P0001,Furniture,East,467,191,135,194.7,12.81,15,Sunny,1,12.47,Spring,3.049440298507463,Healthy,2022,2,22,1,8,1,0,153.14285714285714,141.21428571428572,127.83333333333333,337.0,111.0,12.0,79.0,313.8571428571429,0.33999999999999986,0
2022-02-23,S001,P0001,Groceries,West,152,129,88,134.64,27.67,15,Cloudy,0,31.03,Spring,0.923611111111111,Low Stock,2022,2,23,2,8,1,0,164.57142857142858,154.0,131.56666666666666,191.0,373.0,16.0,9.0,-12.571428571428584,-3.3599999999999994,0
2022-02-24,S001,P0001,Toys,East,277,177,108,169.54,25.72,10,Snowy,1,29.31,Winter,2.1354625550660793,Low Stock,2022,2,24,3,8,1,0,129.71428571428572,162.07142857142858,135.56666666666666,129.0,31.0,237.0,189.0,147.28571428571428,-3.59,0
2022-02-25,S001,P0001,Clothing,North,399,214,188,220.68,10.85,20,Cloudy,1,14.28,Summer,2.6499051233396584,Low Stock,2022,2,25,4,8,1,0,150.57142857142858,157.78571428571428,135.16666666666666,177.0,27.0,203.0,49.0,248.42857142857142,-3.4299999999999997,0
2022-02-26,S001,P0001,Groceries,North,167,106,55,113.33,52.53,10,Snowy,0,54.21,Spring,0.9419822723609992,Low Stock,2022,2,26,5,8,1,1,177.28571428571428,158.57142857142858,140.66666666666666,214.0,27.0,29.0,164.0,-10.285714285714278,-1.6799999999999997,0
2022-02-27,S001,P0001,Clothing,North,129,68,165,81.82,34.84,10,Rainy,1,38.22,Autumn,0.6840909090909091,Low Stock,2022,2,27,6,8,1,1,188.57142857142858,164.07142857142858,138.73333333333332,106.0,166.0,149.0,97.0,-59.571428571428584,-3.3799999999999955,0
2022-02-28,S001,P0001,Furniture,South,361,344,103,338.3,89.39,10,Snowy,1,86.89,Summer,2.0679214402618658,Low Stock,2022,2,28,0,9,1,0,174.57142857142858,158.28571428571428,137.76666666666668,68.0,337.0,259.0,47.0,186.42857142857142,2.5,0
2022-03-01,S001,P0001,Toys,North,263,28,113,33.68,15.95,5,Snowy,0,13.91,Winter,1.4979658258746948,Low Stock,2022,3,1,1,9,1,0,175.57142857142858,164.35714285714286,147.66666666666666,344.0,191.0,111.0,130.0,87.42857142857142,2.039999999999999,0
2022-03-02,S001,P0001,Groceries,South,216,93,120,105.56,58.52,15,Snowy,1,58.92,Winter,1.4183864915572233,Low Stock,2022,3,2,2,9,1,0,152.28571428571428,158.42857142857142,144.26666666666668,28.0,129.0,373.0,200.0,63.71428571428572,-0.3999999999999986,0
2022-03-03,S001,P0001,Toys,South,304,36,44,31.54,14.01,0,Snowy,1,12.87,Autumn,2.066019417475728,Low Stock,2022,3,3,3,9,1,0,147.14285714285714,138.42857142857142,140.7,93.0,177.0,31.0,279.0,156.85714285714286,1.1400000000000006,0
2022-03-04,S001,P0001,Toys,South,338,284,43,274.86,33.06,15,Snowy,0,34.47,Autumn,2.661417322834646,Low Stock,2022,3,4,4,9,1,0,127.0,138.78571428571428,132.6,36.0,214.0,27.0,38.0,211.0,-1.4099999999999966,0
2022-03-05,S001,P0001,Furniture,East,496,282,167,274.26,27.67,10,Sunny,0,28.65,Spring,3.6204379562043796,Healthy,2022,3,5,5,9,1,1,137.0,157.14285714285714,140.8,284.0,106.0,27.0,71.0,359.0,-0.9799999999999969,0
2022-03-06,S001,P0001,Electronics,South,463,192,54,203.71,62.37,10,Cloudy,1,64.64,Winter,2.8555066079295153,Low Stock,2022,3,6,6,9,1,1,162.14285714285714,175.35714285714286,147.83333333333334,282.0,68.0,166.0,25.0,300.8571428571429,-2.270000000000003,0
2022-03-07,S001,P0001,Toys,North,380,348,80,360.31,98.99,5,Rainy,0,97.93,Autumn,2.112787926926132,Low Stock,2022,3,7,0,10,1,0,179.85714285714286,177.21428571428572,153.4,192.0,344.0,337.0,350.0,200.14285714285714,1.059999999999988,0
2022-03-08,S001,P0001,Clothing,West,394,32,88,36.33,95.9,20,Sunny,1,98.49,Winter,2.1836896278701508,Low Stock,2022,3,8,1,10,1,0,180.42857142857142,178.0,153.33333333333334,348.0,28.0,191.0,69.0,213.57142857142858,-2.589999999999989,0
2022-03-09,S001,P0001,Clothing,South,339,26,165,29.44,24.92,15,Sunny,0,24.38,Autumn,1.87292817679558,Low Stock,2022,3,9,2,10,1,0,181.0,166.64285714285714,152.1,32.0,93.0,129.0,62.0,158.0,0.5400000000000027,0
2022-03-10,S001,P0001,Clothing,East,285,147,184,161.02,24.69,10,Snowy,1,20.0,Spring,1.6625,Low Stock,2022,3,10,3,10,1,0,171.42857142857142,159.28571428571428,150.9,26.0,36.0,177.0,12.0,113.57142857142858,4.690000000000001,0
2022-03-11,S001,P0001,Groceries,North,348,141,188,155.99,46.7,10,Snowy,1,50.28,Summer,1.8581235697940504,Low Stock,2022,3,11,4,10,1,0,187.28571428571428,157.14285714285714,155.4,147.0,284.0,214.0,16.0,160.71428571428572,-3.5799999999999983,0
2022-03-12,S001,P0001,Electronics,East,210,194,144,196.14,91.91,5,Rainy,1,90.84,Autumn,1.2585616438356164,Low Stock,2022,3,12,5,10,1,1,166.85714285714286,151.92857142857142,159.56666666666666,141.0,282.0,106.0,237.0,43.14285714285714,1.0699999999999932,0
2022-03-13,S001,P0001,Clothing,North,327,95,141,101.11,87.0,15,Sunny,0,91.43,Summer,2.1194444444444445,Low Stock,2022,3,13,6,10,1,1,154.28571428571428,158.21428571428572,158.13333333333333,194.0,192.0,68.0,203.0,172.71428571428572,-4.430000000000007,0
2022-03-14,S001,P0001,Electronics,West,84,74,168,80.12,59.11,10,Snowy,0,58.7,Summer,0.5981688708036623,Low Stock,2022,3,14,0,11,1,0,140.42857142857142,160.14285714285714,154.53333333333333,95.0,348.0,344.0,29.0,-56.428571428571416,0.4099999999999966,0
2022-03-15,S001,P0001,Furniture,West,172,78,187,78.64,69.17,20,Cloudy,0,70.1,Winter,1.6981664315937939,Low Stock,2022,3,15,1,11,1,0,101.28571428571429,140.85714285714286,156.03333333333333,74.0,32.0,28.0,149.0,70.71428571428571,-0.9299999999999926,0
2022-03-16,S001,P0001,Groceries,South,252,230,126,243.54,37.52,5,Cloudy,0,36.49,Autumn,2.3364238410596028,Low Stock,2022,3,16,2,11,1,0,107.85714285714286,144.42857142857142,153.66666666666666,78.0,26.0,93.0,259.0,144.14285714285714,1.0300000000000011,0
2022-03-17,S001,P0001,Groceries,South,124,89,86,102.55,30.81,15,Sunny,1,30.91,Spring,0.9051094890510949,Low Stock,2022,3,17,3,11,1,0,137.0,154.21428571428572,152.7,230.0,147.0,36.0,111.0,-13.0,-0.10000000000000142,0
2022-03-18,S001,P0001,Electronics,North,282,150,41,142.21,47.2,15,Snowy,0,43.88,Autumn,2.190899001109878,Low Stock,2022,3,18,4,11,1,0,128.71428571428572,158.0,151.96666666666667,89.0,141.0,284.0,373.0,153.28571428571428,3.3200000000000003,0
2022-03-19,S001,P0001,Clothing,South,388,285,28,285.57,17.8,20,Rainy,0,20.76,Summer,2.9846153846153847,Low Stock,2022,3,19,5,11,1,1,130.0,148.42857142857142,144.53333333333333,150.0,194.0,282.0,31.0,258.0,-2.960000000000001,0
2022-03-20,S001,P0001,Electronics,East,83,40,68,47.68,33.07,15,Snowy,1,29.26,Summer,0.5804195804195804,Low Stock,2022,3,20,6,11,1,1,143.0,148.64285714285714,153.0,285.0,95.0,192.0,27.0,-60.0,3.8099999999999987,0
2022-03-21,S001,P0001,Groceries,North,100,58,160,73.92,75.75,15,Sunny,1,77.25,Summer,0.7399577167019028,Low Stock,2022,3,21,0,12,1,0,135.14285714285714,137.78571428571428,153.43333333333334,40.0,74.0,348.0,27.0,-35.14285714285714,-1.5,0
2022-03-22,S001,P0001,Electronics,North,163,114,83,121.45,69.56,5,Snowy,1,67.3,Autumn,1.2268817204301075,Low Stock,2022,3,22,1,12,1,0,132.85714285714286,117.07142857142857,154.46666666666667,58.0,78.0,32.0,166.0,30.14285714285714,2.260000000000005,0
2022-03-23,S001,P0001,Electronics,South,82,21,124,15.89,86.7,0,Sunny,1,87.39,Winter,0.5942028985507246,Low Stock,2022,3,23,2,12,1,0,138.0,122.92857142857143,152.73333333333332,114.0,230.0,26.0,337.0,-56.0,-0.6899999999999977,0
2022-03-24,S001,P0001,Clothing,North,279,35,84,42.16,12.46,5,Cloudy,0,15.25,Summer,2.5799207397622195,Low Stock,2022,3,24,3,12,1,0,108.14285714285714,122.57142857142857,142.2,21.0,89.0,147.0,191.0,170.85714285714286,-2.789999999999999,0
2022-03-25,S001,P0001,Electronics,South,441,31,137,41.5,45.18,0,Rainy,0,40.48,Autumn,4.391180654338549,Healthy,2022,3,25,4,12,1,0,100.42857142857143,114.57142857142857,137.0,35.0,150.0,141.0,129.0,340.57142857142856,4.700000000000003,0
2022-03-26,S001,P0001,Groceries,South,81,4,128,22.91,81.93,20,Snowy,1,84.51,Summer,0.970890410958904,Low Stock,2022,3,26,5,12,1,1,83.42857142857143,106.71428571428571,133.73333333333332,31.0,285.0,194.0,177.0,-2.4285714285714306,-2.5799999999999983,0
2022-03-27,S001,P0001,Toys,South,324,289,95,279.09,78.21,10,Snowy,0,81.17,Autumn,7.485148514851486,Healthy,2022,3,27,6,12,1,1,43.285714285714285,93.14285714285714,127.96666666666667,4.0,40.0,95.0,214.0,280.7142857142857,-2.960000000000008,0
2022-03-28,S001,P0001,Groceries,West,393,49,57,61.96,68.54,0,Rainy,0,65.85,Summer,4.983695652173913,Healthy,2022,3,28,0,13,1,0,78.85714285714286,107.0,130.46666666666667,289.0,58.0,74.0,106.0,314.1428571428571,2.690000000000012,0
2022-03-30,S001,P0001,Groceries,South,339,136,191,154.62,32.07,0,Snowy,0,35.44,Autumn,4.370165745856354,Healthy,2022,3,30,2,13,1,0,77.57142857142857,105.21428571428571,128.56666666666666,49.0,114.0,78.0,68.0,261.42857142857144,-3.3699999999999974,0
2022-03-31,S001,P0001,Clothing,South,358,85,151,91.85,63.02,0,Sunny,0,61.79,Autumn,4.435398230088496,Healthy,2022,3,31,3,13,1,0,80.71428571428571,109.35714285714286,130.83333333333334,136.0,21.0,230.0,344.0,277.2857142857143,1.230000000000004,0
2022-04-01,S001,P0001,Furniture,West,215,101,65,102.74,44.62,0,Cloudy,1,43.36,Summer,2.39268680445151,Low Stock,2022,4,1,4,13,2,0,89.85714285714286,99.0,122.2,85.0,35.0,89.0,28.0,125.14285714285714,1.259999999999998,0
2022-04-02,S001,P0001,Furniture,East,200,70,54,74.21,81.11,15,Sunny,1,85.3,Winter,2.014388489208633,Low Stock,2022,4,2,5,13,2,1,99.28571428571429,99.85714285714286,124.63333333333334,101.0,31.0,150.0,93.0,100.71428571428571,-4.189999999999998,0
2022-04-03,S001,P0001,Toys,South,208,32,142,42.34,51.04,15,Snowy,0,51.16,Summer,1.9836512261580381,Low Stock,2022,4,3,6,13,2,1,104.85714285714286,94.14285714285714,123.86666666666666,70.0,4.0,285.0,36.0,103.14285714285714,-0.11999999999999744,0
2022-04-04,S001,P0001,Furniture,North,70,54,197,60.25,70.04,10,Sunny,1,74.56,Summer,0.6430446194225722,Low Stock,2022,4,4,0,14,2,0,108.85714285714286,76.07142857142857,123.73333333333333,32.0,289.0,40.0,284.0,-38.85714285714286,-4.519999999999996,0
2022-04-05,S001,P0001,Groceries,East,309,165,105,176.64,90.24,10,Snowy,0,94.06,Winter,4.104364326375711,Healthy,2022,4,5,1,14,2,0,75.28571428571429,77.07142857142857,116.06666666666666,54.0,49.0,58.0,282.0,233.71428571428572,-3.8200000000000074,0
2022-04-06,S001,P0001,Groceries,West,322,158,29,174.98,23.65,10,Rainy,0,20.38,Spring,3.5054432348367026,Healthy,2022,4,6,2,14,2,0,91.85714285714286,84.71428571428571,112.16666666666667,165.0,136.0,114.0,192.0,230.14285714285714,3.2699999999999996,0
2022-04-07,S001,P0001,Furniture,South,84,26,134,30.94,67.82,0,Snowy,1,62.89,Winter,0.8842105263157894,Low Stock,2022,4,7,3,14,2,0,95.0,87.85714285714286,111.03333333333333,158.0,85.0,21.0,348.0,-11.0,4.929999999999993,0
2022-04-08,S001,P0001,Furniture,East,322,130,173,148.95,27.4,15,Rainy,0,24.46,Spring,3.7194719471947195,Healthy,2022,4,8,4,14,2,0,86.57142857142857,88.21428571428571,100.3,26.0,101.0,35.0,32.0,235.42857142857144,2.9399999999999977,0
2022-04-09,S001,P0001,Groceries,North,435,121,60,113.81,69.13,15,Cloudy,1,65.28,Spring,4.7952755905511815,Healthy,2022,4,9,5,14,2,1,90.71428571428571,95.0,103.56666666666666,130.0,70.0,31.0,26.0,344.2857142857143,3.8499999999999943,0
2022-04-10,S001,P0001,Groceries,East,292,282,200,301.68,96.48,5,Sunny,0,92.65,Summer,2.979591836734694,Low Stock,2022,4,10,6,14,2,1,98.0,101.42857142857143,106.73333333333333,121.0,32.0,4.0,147.0,194.0,3.8299999999999983,0
2022-04-11,S001,P0001,Groceries,South,376,358,192,367.23,46.43,0,Rainy,1,50.45,Spring,2.8119658119658117,Low Stock,2022,4,11,0,15,2,0,133.71428571428572,121.28571428571429,111.23333333333333,282.0,54.0,289.0,141.0,242.28571428571428,-4.020000000000003,0
2022-04-12,S001,P0001,Clothing,West,381,238,139,237.67,74.25,15,Rainy,0,78.42,Summer,2.1508064516129033,Low Stock,2022,4,12,1,15,2,0,177.14285714285714,126.21428571428571,118.46666666666667,358.0,165.0,49.0,194.0,203.85714285714286,-4.170000000000002,0
2022-04-13,S001,P0001,Electronics,East,433,279,79,293.17,78.35,10,Snowy,1,76.87,Autumn,2.308453922315308,Low Stock,2022,4,13,2,15,2,0,187.57142857142858,139.71428571428572,119.93333333333334,238.0,158.0,136.0,95.0,245.42857142857142,1.4799999999999898,0
2022-04-14,S001,P0001,Electronics,South,241,108,126,110.02,83.64,20,Sunny,0,79.51,Spring,1.1764295676429568,Low Stock,2022,4,14,3,15,2,0,204.85714285714286,149.92857142857142,126.06666666666666,279.0,26.0,85.0,74.0,36.14285714285714,4.1299999999999955,0
2022-04-15,S001,P0001,Toys,West,136,32,165,24.81,95.63,10,Sunny,1,90.95,Winter,0.6279683377308707,Low Stock,2022,4,15,4,15,2,0,216.57142857142858,151.57142857142858,127.2,108.0,130.0,101.0,78.0,-80.57142857142858,4.679999999999993,0
2022-04-16,S001,P0001,Groceries,East,445,183,43,176.76,74.81,10,Cloudy,0,78.85,Spring,2.196755994358251,Low Stock,2022,4,16,5,15,2,1,202.57142857142858,146.64285714285714,125.66666666666667,32.0,121.0,70.0,230.0,242.42857142857142,-4.039999999999992,0
2022-04-17,S001,P0001,Toys,West,396,365,109,363.52,68.35,5,Cloudy,0,71.54,Summer,1.8729729729729732,Low Stock,2022,4,17,6,15,2,1,211.42857142857142,154.71428571428572,124.1,183.0,282.0,32.0,89.0,184.57142857142858,-3.190000000000012,0
2022-04-18,S001,P0001,Groceries,South,319,47,185,37.98,53.83,20,Rainy,0,50.51,Winter,1.4286628278950737,Low Stock,2022,4,18,0,16,2,0,223.28571428571428,178.5,133.3,365.0,358.0,54.0,150.0,95.71428571428572,3.3200000000000003,0
2022-04-19,S001,P0001,Electronics,North,60,41,195,38.56,66.6,15,Rainy,1,62.37,Winter,0.33546325878594246,Low Stock,2022,4,19,1,16,2,0,178.85714285714286,178.0,129.86666666666667,47.0,238.0,165.0,285.0,-118.85714285714286,4.229999999999997,0
2022-04-20,S001,P0001,Furniture,North,164,51,131,46.97,14.9,20,Cloudy,1,13.27,Summer,1.0881516587677724,Low Stock,2022,4,20,2,16,2,0,150.71428571428572,169.14285714285714,121.73333333333333,41.0,279.0,158.0,40.0,13.285714285714278,1.6300000000000008,0
2022-04-21,S001,P0001,Furniture,North,320,107,27,109.15,84.81,0,Rainy,1,87.15,Winter,2.708585247883918,Low Stock,2022,4,21,3,16,2,0,118.14285714285714,161.5,122.1,51.0,108.0,26.0,58.0,201.85714285714286,-2.3400000000000034,0
2022-04-22,S001,P0001,Groceries,West,407,405,68,410.98,93.83,15,Snowy,0,97.11,Autumn,3.4491525423728815,Healthy,2022,4,22,4,16,2,0,118.0,167.28571428571428,123.73333333333333,107.0,32.0,130.0,114.0,289.0,-3.280000000000001,0
2022-04-23,S001,P0001,Electronics,East,291,212,97,208.81,36.5,15,Sunny,1,41.26,Spring,1.6989157631359466,Low Stock,2022,4,23,5,16,2,1,171.28571428571428,186.92857142857142,133.43333333333334,405.0,183.0,121.0,21.0,119.71428571428572,-4.759999999999998,0
2022-04-24,S001,P0001,Toys,South,81,14,59,33.2,20.46,15,Snowy,1,23.22,Winter,0.4617263843648209,Low Stock,2022,4,24,6,16,2,1,175.42857142857142,193.42857142857142,139.8,212.0,365.0,282.0,35.0,-94.42857142857142,-2.759999999999998,0
2022-04-25,S001,P0001,Clothing,West,52,45,32,48.53,71.32,5,Cloudy,1,73.35,Spring,0.41505131128848344,Low Stock,2022,4,25,0,17,2,0,125.28571428571429,174.28571428571428,139.1,14.0,47.0,358.0,31.0,-73.28571428571429,-2.030000000000001,0
2022-04-26,S001,P0001,Groceries,South,489,452,98,442.38,29.14,10,Cloudy,0,29.25,Winter,3.912,Healthy,2022,4,26,1,17,2,0,125.0,151.92857142857142,139.56666666666666,45.0,41.0,238.0,4.0,364.0,-0.10999999999999943,0
2022-04-27,S001,P0001,Electronics,South,422,288,52,298.22,43.71,15,Cloudy,0,44.73,Summer,2.297045101088647,Low Stock,2022,4,27,2,17,2,0,183.71428571428572,167.21428571428572,154.5,452.0,51.0,279.0,289.0,238.28571428571428,-1.019999999999996,0
2022-04-28,S001,P0001,Groceries,South,348,334,167,329.4,47.06,10,Rainy,1,49.09,Autumn,1.5994747209455022,Low Stock,2022,4,28,3,17,2,0,217.57142857142858,167.85714285714286,154.46666666666667,288.0,107.0,108.0,49.0,130.42857142857142,-2.030000000000001,0
2022-04-29,S001,P0001,Groceries,South,319,27,121,31.1,34.81,0,Rainy,1,38.71,Winter,1.276,Low Stock,2022,4,29,4,17,2,0,250.0,184.0,163.96666666666667,334.0,405.0,32.0,136.0,69.0,-3.8999999999999986,0
2022-04-30,S001,P0001,Toys,South,162,149,71,143.4,20.41,20,Cloudy,0,23.49,Summer,0.826530612244898,Low Stock,2022,4,30,5,17,2,1,196.0,183.64285714285714,160.33333333333334,27.0,212.0,183.0,85.0,-34.0,-3.0799999999999983,0
2022-05-03,S001,P0001,Toys,East,231,18,92,32.61,47.42,20,Sunny,1,50.88,Winter,1.2352941176470589,Low Stock,2022,5,3,1,18,2,0,187.0,181.21428571428572,162.46666666666667,149.0,14.0,365.0,101.0,44.0,-3.460000000000001,0
2022-05-04,S001,P0001,Furniture,West,383,127,131,126.03,30.44,20,Cloudy,0,25.63,Spring,2.041888804265042,Low Stock,2022,5,4,2,18,2,0,187.57142857142858,156.42857142857142,159.7,18.0,45.0,47.0,70.0,195.42857142857142,4.810000000000002,0
2022-05-05,S001,P0001,Toys,South,252,49,172,45.42,21.29,20,Rainy,0,23.42,Autumn,1.2645161290322582,Low Stock,2022,5,5,3,18,2,0,199.28571428571428,162.14285714285714,161.6,127.0,452.0,41.0,32.0,52.71428571428572,-2.1300000000000026,0
2022-05-06,S001,P0001,Groceries,South,253,26,79,40.4,87.62,10,Rainy,1,89.03,Spring,1.785282258064516,Low Stock,2022,5,6,4,18,2,0,141.71428571428572,162.71428571428572,162.16666666666666,49.0,288.0,51.0,54.0,111.28571428571428,-1.4099999999999966,0
2022-05-07,S001,P0001,Furniture,East,334,39,150,44.63,65.44,20,Sunny,1,69.95,Winter,3.202739726027397,Healthy,2022,5,7,5,18,2,1,104.28571428571429,160.92857142857142,161.23333333333332,26.0,334.0,107.0,165.0,229.71428571428572,-4.510000000000005,0
2022-05-08,S001,P0001,Clothing,South,103,6,120,13.1,30.86,5,Snowy,0,35.02,Spring,1.657471264367816,Low Stock,2022,5,8,6,18,2,1,62.142857142857146,156.07142857142858,157.03333333333333,39.0,27.0,405.0,158.0,40.857142857142854,-4.160000000000004,0
2022-05-09,S001,P0001,Toys,West,195,173,94,184.02,55.13,15,Sunny,0,52.38,Winter,3.2971014492753623,Healthy,2022,5,9,0,19,2,0,59.142857142857146,127.57142857142857,151.96666666666667,6.0,149.0,212.0,26.0,135.85714285714286,2.75,0
2022-05-10,S001,P0001,Toys,North,118,19,138,25.79,60.66,15,Snowy,0,55.68,Autumn,1.8858447488584476,Low Stock,2022,5,10,1,19,2,0,62.57142857142857,124.78571428571429,156.86666666666667,173.0,18.0,14.0,130.0,55.42857142857143,4.979999999999997,0
2022-05-11,S001,P0001,Toys,West,185,19,142,16.37,23.93,10,Rainy,1,25.74,Autumn,2.949886104783599,Low Stock,2022,5,11,2,19,2,0,62.714285714285715,125.14285714285714,153.16666666666666,19.0,127.0,45.0,121.0,122.28571428571428,-1.8099999999999987,0
