Store ID,Product ID,Average Daily Demand,Current Inventory,Safety Stock,Reorder Point,Recommended Order,Inventory Status
S004,P0004,131.46454413892909,105,175,1095,990,Urgent Reorder
S004,P0005,137.9585121602289,217,178,1144,927,Urgent Reorder
S004,P0006,142.25323741007193,364,178,1174,810,Monitor Inventory
S004,P0007,130.80115273775215,134,175,1091,957,Urgent Reorder
S004,P0008,135.43804034582132,390,176,1124,734,Monitor Inventory
S004,P0009,136.02011494252875,115,187,1139,1024,Urgent Reorder
S004,P0010,139.34920634920636,382,184,1159,777,Monitor Inventory
S004,P0011,139.55587392550143,155,176,1153,998,Urgent Reorder
S004,P0012,132.36714285714285,85,172,1099,1014,Urgent Reorder
S004,P0013,132.06017191977077,113,173,1097,984,Urgent Reorder
S004,P0014,142.09598853868195,386,183,1178,792,Monitor Inventory
S004,P0015,139.66666666666666,229,179,1157,928,Urgent Reorder
S004,P0016,144.3447782546495,314,179,1189,875,Monitor Inventory
S004,P0017,135.35724533715924,100,177,1125,1025,Urgent Reorder
S004,P0018,128.60744985673352,83,170,1070,987,Urgent Reorder
S004,P0019,140.14847161572052,65,182,1163,1098,Urgent Reorder
S004,P0020,137.46888567293777,249,175,1137,888,Urgent Reorder
S005,P0001,132.14756446991404,300,177,1102,802,Monitor Inventory
S005,P0002,133.50786838340483,253,173,1108,855,Urgent Reorder
S005,P0003,145.14409221902017,98,184,1200,1102,Urgent Reorder
S005,P0004,137.4644412191582,158,184,1146,988,Urgent Reorder
S005,P0005,142.85796269727402,372,174,1174,802,Monitor Inventory
S005,P0006,137.22910662824208,491,177,1138,647,Monitor Inventory
S005,P0007,140.68985507246376,59,185,1170,1111,Urgent Reorder
S005,P0008,133.878223495702,409,185,1122,713,Monitor Inventory
S005,P0009,137.4618705035971,319,178,1140,821,Monitor Inventory
S005,P0010,138.4126984126984,308,180,1149,841,Monitor Inventory
S005,P0011,139.08104196816208,156,177,1151,995,Urgent Reorder
S005,P0012,138.1010101010101,495,180,1147,652,Monitor Inventory
S005,P0013,139.6280400572246,389,178,1155,766,Monitor Inventory
S005,P0014,137.8405172413793,328,182,1147,819,Monitor Inventory
S005,P0015,149.37175792507205,408,190,1236,828,Monitor Inventory
S005,P0016,140.49570200573066,96,183,1166,1070,Urgent Reorder
S005,P0017,137.3453237410072,313,178,1139,826,Monitor Inventory
S005,P0018,137.0043415340087,278,182,1141,863,Urgent Reorder
S005,P0019,135.8231884057971,374,179,1130,756,Monitor Inventory
S005,P0020,140.54466858789624,117,185,1169,1052,Urgent Reorder
